BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BusinessType,BankName,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,subpgmdesc,InitialInterestRate,TermInMonths,NaicsCode,NaicsDescription,LoanStatus,Status,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported
"Party Creations, Inc.",3651 South 6th Street,Springfield,IL,62708,CORPORATION,Warren-Boynton State Bank,702 W Illinois St,NEW BERLIN,IL,62670,145500,123675,3/14/12,2012,4/1/12,RLA,Rural Lender Advantage,5.5,84,532299,All Other Consumer Goods Rental,PIF,0,,0,0,13
"JOHN GEYSTON ENTERPRISES, INC.",3020 S 6TH STREET,SPRINGFIELD,IL,62703,CORPORATION,Warren-Boynton State Bank,702 W Illinois St,NEW BERLIN,IL,62670,40000,36000,11/4/10,2011,11/4/10,RLA,Rural Lender Advantage,5.75,60,611620,Sports and Recreation Instruction,PIF,0,,0,0,6
Urban Bricks Real Estate LLC,"7170 W. 159th Street, Suite B",Orland Park,IL,60462,CORPORATION,Wallis State Bank,6510 Railroad St,WALLIS,TX,77485,350000,262500,11/6/17,2018,11/30/17,PLP,Guaranty,6.25,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,32
The Goddard School,461 W. Townline Road.,Vernon hills,IL,60061,CORPORATION,"Wachovia SBA Lending, Inc.",1620 E. Roseville Pkwy,ROSEVILLE,CA,95661,568900,509475,10/8/09,2010,,PLP,Guaranty,5,120,624410,Child Day Care Services,CANCLD,0,,0,0,20
"Accu-Vision Center, Inc.",1914-1916 E. Grand Avenue,Lindenhurst,IL,60046,CORPORATION,Vision One CU,3279 Ramos Cir,SACRAMENTO,CA,95827,767500,575625,3/26/18,2018,,PLP,Guaranty,4.5,249,621320,Offices of Optometrists,COMMIT,0,,0,0,3
MWB Vision Inc.,11914 South Route 59,Plainfield,IL,60544,CORPORATION,Vision One CU,3279 Ramos Cir,SACRAMENTO,CA,95827,350000,262500,1/9/15,2015,6/1/15,PLP,Guaranty,6.25,132,621320,Offices of Optometrists,EXEMPT,0,,0,0,2
"Wow Vision, Inc","7451 Woodward Avenue, Suite 1",Woodridge,IL,60517,CORPORATION,Vision One CU,3279 Ramos Cir,SACRAMENTO,CA,95827,200000,150000,12/24/12,2013,1/1/13,PLP,Guaranty,6.25,120,621320,Offices of Optometrists,EXEMPT,0,,0,0,5
"MARENGO VISION CENTER, P.C.",205 North State Street.,Marengo,IL,60152,CORPORATION,Vision One CU,3279 Ramos Cir,SACRAMENTO,CA,95827,275000,206250,9/20/11,2011,12/1/11,PLP,Guaranty,6,120,621320,Offices of Optometrists,EXEMPT,0,,0,0,10
Vision Rehabilitation Associat,191 WAUKEGAN RD #115,Northfield,IL,60093,CORPORATION,Vision One CU,3279 Ramos Cir,SACRAMENTO,CA,95827,450000,405000,12/3/10,2011,1/1/11,PLP,Guaranty,5.75,120,621320,Offices of Optometrists,EXEMPT,0,,0,0,5
Castino Painting Inc.,2820 OLD WILLOW RD,NORTHBROOK,IL,60062,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,200000,100000,3/29/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),6.5,84,238320,Painting and Wall Covering Contractors,COMMIT,0,,0,1,21
Jaydev Brew Inc.,126 VILLA AVE,VILLA PARK,IL,60181,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,100000,50000,3/19/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,312120,Breweries,COMMIT,0,,0,1,25
Jaydev Brew Inc.,126 VILLA AVE,VILLA PARK,IL,60181,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,125000,62500,3/19/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,87,312120,Breweries,COMMIT,0,,0,0,25
General Masonry LLC,4524 OTTAWA AVE,HARWOOD HEIGHTS,IL,60706,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,250000,125000,3/14/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,238140,Masonry Contractors,COMMIT,0,,0,1,1
"Stardust Casino, Inc.",5688 N. MILWAUKEE AVE,CHICAGO,IL,60646,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,101000,85850,1/30/18,2018,2/28/18,PLP,Guaranty,5.75,120,722511,Full-Service Restaurants,EXEMPT,0,,0,0,9
"Olmar Corporation, Inc.",958 W. BELMONT AVE,CHICAGO,IL,60657,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,500000,375000,1/18/18,2018,1/31/18,PLP,Guaranty,6.75,90,722511,Full-Service Restaurants,EXEMPT,0,,0,0,67
"Palermo Ristorante & Pizzeria,",1567 N AURORA RD,NAPERVILLE,IL,60563,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,309000,231750,1/18/18,2018,,PLP,Guaranty,6,84,722513,Limited-Service Restaurants,COMMIT,0,,0,0,24
Jay Kesar 6554 Inc.,1115 W. SPRING ST,SOUTH ELGIN,IL,60177,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,331000,248250,1/16/18,2018,2/28/18,PLP,Guaranty,5.75,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,15
"Steven Norman Ballet, LLC",162 E. LAKE ST Ste C,BLOOMINGDALE,IL,60108,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,12/15/17,2018,1/31/18,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,611610,Fine Arts Schools,EXEMPT,0,,0,0,15
Unique Wealth Strategies Inc,570 VILLAGE CENTER DR Ste 203,WILLOWBROOK,IL,60527,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,225000,112500,12/11/17,2018,12/31/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,171,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),EXEMPT,0,,0,0,2
"Kaloco 5, Inc.",4551 Illinois Route 173,ZION,IL,60099,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,340000,170000,11/20/17,2018,,SBA EXPRES,FA$TRK (Small Loan Express),5.25,120,447110,Gasoline Stations with Convenience Stores,COMMIT,0,,0,0,11
ETG Inc.,1921 Michigan Ave,CHICAGO,IL,60616,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,50000,25000,11/13/17,2018,11/30/17,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",EXEMPT,0,,0,1,13
MAURO SEWER CONSTRUCTION INC.,1251 REDEKER RD,DES PLAINES,IL,60016,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,11/2/17,2018,12/31/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,90,238910,Site Preparation Contractors,EXEMPT,0,,0,0,15
METAL MONKEY BREWING LLC,515 ANDERSON DR,ROMEOVILLE,IL,60446,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,250000,125000,10/25/17,2018,11/30/17,SBA EXPRES,FA$TRK (Small Loan Express),6,120,312120,Breweries,EXEMPT,0,,0,0,5
Cary On A Roll Inc.,3106 3 OAKS RD,CARY,IL,60013,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,400000,300000,10/24/17,2018,11/30/17,PLP,Guaranty,5.75,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,6
Flexible Benefit Service Corpo,8700 W. BRYN MAWR AVE,CHICAGO,IL,60631,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,3550000,2662500,10/10/17,2018,10/31/17,PLP,Guaranty,5.75,96,524210,Insurance Agencies and Brokerages,EXEMPT,0,,0,0,60
"Stardust Casino, Inc.",5688 N. MILWAUKEE AVE,CHICAGO,IL,60646,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,350000,175000,10/4/17,2018,11/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,300,722511,Full-Service Restaurants,EXEMPT,0,,0,0,9
Insulation Partners Inc.,8267 N. OZARK AVE,NILES,IL,60714,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,9/27/17,2017,1/31/18,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,238990,All Other Specialty Trade Contractors,EXEMPT,0,,0,0,7
"MIDWEST WATER GROUP, INC.",4410 S. HI POINT RD,MCHENRY,IL,60050,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,500000,375000,9/13/17,2017,10/31/17,PLP,Guaranty,6.25,120,425120,Wholesale Trade Agents and Brokers,EXEMPT,0,,0,0,20
"MIDWEST WATER GROUP, INC.",4410 S. HI POINT RD,MCHENRY,IL,60050,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,350000,175000,9/13/17,2017,10/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,425120,Wholesale Trade Agents and Brokers,EXEMPT,0,,0,1,20
NILES CLEANERS 22 INC.,5946 W. TOUHY AVE,NILES,IL,60714,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,550000,412500,9/12/17,2017,10/31/17,PLP,Guaranty,5.75,120,812320,Drycleaning and Laundry Services (except Coin-Operated),EXEMPT,0,,0,0,10
Shivaay-3 Inc.,"1521 W. North Ave., Suite 2",MELROSE PARK,IL,60160,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,350000,175000,9/7/17,2017,9/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,6
"LS CONTRACTING GROUP, INC",3638 W. Belmont Ave,CHICAGO,IL,60618,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,850000,637500,8/15/17,2017,9/30/17,OTH 7A,Standard Asset Based,6.25,12,236220,Commercial and Institutional Building Construction,EXEMPT,0,,0,1,90
Tiger Zinda Hai Inc.,4 N 115 Addison Rd,ADDISON,IL,60101,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,230000,115000,8/14/17,2017,8/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6,120,445310,"Beer, Wine, and Liquor Stores",EXEMPT,0,,0,0,3
"Amethyst Skye Salon, LLC",200 W. Northwest Highway,MOUNT PROSPECT,IL,60056,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,100000,50000,7/14/17,2017,1/31/18,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,812112,Beauty Salons,EXEMPT,0,,0,0,11
EMARAT HOLDINGS INC.,833 E. Roosevelt Rd,LOMBARD,IL,60148,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,200000,100000,7/11/17,2017,7/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,6
Little Beans Cafe LLC,"1809 W. Webster Ave.,",CHICAGO,IL,60614,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,7/3/17,2017,8/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6,84,722515,Snack and Nonalcoholic Beverage Bars,EXEMPT,0,,0,1,51
ETG Inc.,1921 Michigan Ave,CHICAGO,IL,60616,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,310000,155000,7/3/17,2017,7/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologi",EXEMPT,0,,0,0,13
"CRO Elmhurst, Inc.",272 N. YORK ST,ELMHURST,IL,60126,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,260000,195000,6/29/17,2017,7/31/17,PLP,Guaranty,5.5,84,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,24
"Ristorante DeMarco, Inc.",5 N 105 IL Route 53,ITASCA,IL,60143,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,125000,62500,6/19/17,2017,6/30/17,SBA EXPRES,FA$TRK (Small Loan Express),6.5,84,722511,Full-Service Restaurants,EXEMPT,0,,0,0,9
"Castino Painting Compnay, Inc.",2820 Old Willow Road,NORTHBROOK,IL,60062,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,1200000,900000,6/12/17,2017,6/30/17,PLP,Guaranty,5,120,238320,Painting and Wall Covering Contractors,EXEMPT,0,,0,0,3
"Rosalino's Ristorante, Inc.",265 Peterson Rd,LIBERTYVILLE,IL,60048,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,6/2/17,2017,7/31/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,722511,Full-Service Restaurants,PIF,0,,0,0,16
"Inspired Interiors, Inc.",25 W. Hubbard 2nd FL,CHICAGO,IL,60654,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,100000,50000,6/1/17,2017,6/30/17,SBA EXPRES,FA$TRK (Small Loan Express),6,84,541410,Interior Design Services,EXEMPT,0,,0,1,10
Allegiance Construction Group,"2015 S. Arlington Heights Rd,",ARLINGTON HEIGHTS,IL,60005,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,125000,62500,5/18/17,2017,5/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,238110,Poured Concrete Foundation and Structure Contractors,EXEMPT,0,,0,0,0
Rozalado & Co.,4520 W. Lawrence Ave,CHICAGO,IL,60661,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,100000,50000,5/18/17,2017,5/31/17,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,561720,Janitorial Services,EXEMPT,0,,0,0,90
West Glen Corporation,"3305 Route 31, Unit 5",CRYSTAL LAKE,IL,60012,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,350000,175000,5/5/17,2017,6/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,238160,Roofing Contractors,EXEMPT,0,,0,1,23
West Glen Corporation,"3305 Route 31, Unit 5",CRYSTAL LAKE,IL,60012,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,437000,327750,5/5/17,2017,5/31/17,PLP,Guaranty,5.5,120,238160,Roofing Contractors,EXEMPT,0,,0,0,23
Zingit Mobile LLC,200 N. Fairway Dr. Ste 174,VERNON HILLS,IL,60061,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,5/4/17,2017,8/31/17,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,541890,Other Services Related to Advertising,EXEMPT,0,,0,1,21
Subliciuos Subs Inc,440 Randall Rd,ALGONQUIN,IL,60102,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,100000,75000,4/27/17,2017,7/31/17,PLP,Guaranty,5.25,84,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,25
Jay Kesar 35558 Inc.,1100 S. Randall Rd,ELGIN,IL,60123,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,250000,187500,4/27/17,2017,5/31/17,PLP,Guaranty,5.5,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,5
Northwest Snow and Timber Serv,1321 S. School,LOMBARD,IL,60148,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,4/27/17,2017,5/31/17,SBA EXPRES,FA$TRK (Small Loan Express),5.25,84,561730,Landscaping Services,EXEMPT,0,,0,0,3
Athletic Specialties 2,240 Industrial Drive,WAUCONDA,IL,60084,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,2500000,1875000,4/25/17,2017,5/31/17,PLP,Guaranty,4.49,96,339920,Sporting and Athletic Goods Manufacturing,EXEMPT,0,,0,0,12
"Command Mechanical Group, LLC",1872 N. Clybourn Avenue 202,CHICAGO,IL,60614,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,350000,175000,4/25/17,2017,5/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6,84,541330,Engineering Services,EXEMPT,0,,0,1,50
Shakti Sadashiv Limited,720 S Route 83,MUNDELEIN,IL,60060,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,245000,122500,4/19/17,2017,4/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,120,722511,Full-Service Restaurants,EXEMPT,0,,0,0,12
Innovative Senior Care Service,5631 Manchester Drive,GURNEE,IL,60031,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,807000,605250,4/5/17,2017,4/7/17,PLP,Guaranty,4.95,240,623312,Homes for the Elderly,EXEMPT,0,,0,0,12
Conservation of Sculpture & Ob,900 Des Plaines,FOREST PARK,IL,60130,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,200000,100000,3/29/17,2017,3/29/17,SBA EXPRES,FA$TRK (Small Loan Express),5.95,84,238990,All Other Specialty Trade Contractors,EXEMPT,0,,0,0,13
IDOF Wells Inc.,127 W. Madison Ave.,CHICAGO,IL,60602,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,112500,3/23/17,2017,3/23/17,PLP,Guaranty,5.75,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,9
Common Wealth Corp,5143 N. Clark,CHICAGO,IL,60640,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,135000,67500,3/23/17,2017,5/31/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,120,722511,Full-Service Restaurants,EXEMPT,0,,0,0,12
IDOF Taylor Inc.,1129 W. Taylor St.,CHICAGO,IL,60607,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,350000,175000,3/22/17,2017,3/22/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,8
"The Genesis Management Group,","1658 N. Milwaukee Ave., Suite",CHICAGO,IL,60647,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,579000,434250,3/17/17,2017,3/17/17,PLP,Guaranty,5.5,120,541611,Administrative Management and General Management Consulting Services,EXEMPT,0,,0,0,12
"Framing 4 Yourself, LLC",541 W. Golf Rd,ARLINGTON HEIGHTS,IL,60005,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,3/15/17,2017,3/15/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,451120,"Hobby, Toy, and Game Stores",EXEMPT,0,,0,0,3
TOP DRIVER ACQUISITION,"200 W. 22nd Street, Suite 251",LOMBARD,IL,60148,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,2200000,1650000,2/27/17,2017,3/1/17,PLP,Guaranty,5.5,120,611692,Automobile Driving Schools,EXEMPT,0,,0,0,120
Jay Kesar RT 47 Inc.,15 N 454 Illinois Route 47,Pingree Grove,IL,60140,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,200000,100000,2/14/17,2017,2/14/17,SBA EXPRES,FA$TRK (Small Loan Express),5.5,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,6
More Brewing,126 S. Villa Ave,VILLA PARK,IL,60181,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,767000,575250,1/27/17,2017,2/1/17,PLP,Guaranty,5.75,228,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),EXEMPT,0,,0,0,2
Burak Handling Inc.,10700 Seymour Ave.,FRANKLIN PARK,IL,60131,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,652000,489000,1/27/17,2017,,PLP,Guaranty,5.75,84,493190,Other Warehousing and Storage,CANCLD,0,,0,0,80
Burak Handling Inc.,10700 Seymour Ave.,FRANKLIN PARK,IL,60131,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,275000,137500,1/27/17,2017,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,493190,Other Warehousing and Storage,CANCLD,0,,0,1,80
"Rosalino's Ristorante, Inc.",265 Peterson Rd,LIBERTYVILLE,IL,60048,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,1/24/17,2017,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,722511,Full-Service Restaurants,CANCLD,0,,0,0,16
Omega Sign & Lighting Inc.,100 W Fay,ADDISON,IL,60101,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,150000,75000,1/24/17,2017,,SBA EXPRES,FA$TRK (Small Loan Express),5.25,24,238210,Electrical Contractors,CANCLD,0,,0,1,16
"LATASCA RESTAURANT,INC.",25 W. Davis Street,ARLINGTON HEIGHTS,IL,60005,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,160000,80000,1/23/17,2017,1/23/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,722511,Full-Service Restaurants,EXEMPT,0,,0,0,35
"Helix, LLC",1727 S Indiana Avenue Suite 4,CHICAGO,IL,60616,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,100000,50000,1/17/17,2017,1/17/17,SBA EXPRES,FA$TRK (Small Loan Express),6,60,541519,Other Computer Related Services,EXEMPT,0,,0,0,30
The Midwest Triumph Corporatio,550 E. Northwest Highway,DES PLAINES,IL,60016,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,110000,82500,1/17/17,2017,1/17/17,PLP,Guaranty,5.25,84,441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",EXEMPT,0,,0,0,16
Maun Corporation Inc.,1306 N. Cedar Lake Road,ROUND LAKE,IL,60073,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,350000,175000,1/13/17,2017,1/13/17,SBA EXPRES,FA$TRK (Small Loan Express),5.25,120,445310,"Beer, Wine, and Liquor Stores",EXEMPT,0,,0,0,4
"Door and Window Guard Systems,",8770 W. Bryn Mawr Suite 1300,CHICAGO,IL,60631,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,500000,375000,1/12/17,2017,1/12/17,PLP,Guaranty,4.75,120,561621,Security Systems Services (except Locksmiths),EXEMPT,0,,0,0,27
"Door and Window Guard Systems,",8770 W. Bryn Mawr Suite 1300,CHICAGO,IL,60631,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,2100000,1575000,1/12/17,2017,1/12/17,PLP,Guaranty,4.75,120,561621,Security Systems Services (except Locksmiths),EXEMPT,0,,0,0,27
"LX Consulting, Inc.",180 N. Stetson Avenue Suite 3,CHICAGO,IL,60601,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,350000,175000,1/9/17,2017,2/1/17,SBA EXPRES,FA$TRK (Small Loan Express),5.25,84,541611,Administrative Management and General Management Consulting Services,EXEMPT,0,,0,1,11
Ballpark Blueprints Limited,6S460 Millcreek Court,NAPERVILLE,IL,60540,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,270000,135000,1/9/17,2017,1/9/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,454111,Electronic Shopping,EXEMPT,0,,0,0,1
Pro Swim EGV LLC,681 Meacham Road,ELK GROVE VILLAGE,IL,60007,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,680500,510375,12/28/16,2017,1/1/17,PLP,Guaranty,5.5,120,812990,All Other Personal Services,EXEMPT,0,,0,0,24
CDO Squared Inc,425 N. Martingale Road Suite,SCHAUMBURG,IL,60173,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,350000,175000,12/16/16,2017,12/16/16,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,518210,"Data Processing, Hosting, and Related Services",EXEMPT,0,,0,1,28
Runner's High 'N Tri LLC,121 W. Campbell,ARLINGTON HEIGHTS,IL,60005,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,100000,50000,12/14/16,2017,12/14/16,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,451110,Sporting Goods Stores,EXEMPT,0,,0,0,8
Streetscape Holdings LLC Stree,4430 Fox Valley Center Drive,AURORA,IL,60504,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,200000,100000,12/7/16,2017,2/1/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,812112,Beauty Salons,EXEMPT,0,,0,0,8
Nicdan Foods LLC,7923 Golf Road,MORTON GROVE,IL,60053,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,280000,140000,11/22/16,2017,12/1/16,SBA EXPRES,FA$TRK (Small Loan Express),5.5,120,722511,Full-Service Restaurants,EXEMPT,0,,0,0,20
DELIVERY BAGS USA INC,927 W. Hawthorn Lane,WEST CHICAGO,IL,60185,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,110000,55000,11/22/16,2017,11/22/16,SBA EXPRES,FA$TRK (Small Loan Express),6,84,424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,EXEMPT,0,,0,1,2
Seng Equipment LLC,222 N York Road,BENSENVILLE,IL,60106,CORPORATION,Village Bank and Trust,234 W Northwest Hwy,ARLINGTON HEIGHTS,IL,60004,281000,140500,11/10/16,2017,11/10/16,SBA EXPRES,FA$TRK (Small Loan Express),4.25,60,532490,Other Commercial and Industrial Machinery and Equipment Rental and Lea,EXEMPT,0,,0,0,1
